0	0	-2.0	-1.1806293995143569
1	0	-1.65	-1.6064358665994587
2	0	-1.3	-1.8592821957288406
3	0	-0.95	-1.8772627872076169
4	0	-0.6	-1.6559753651467322
5	0	-0.25	-1.249598808135342
6	0	0.1	-0.7576282702077364
7	0	0.45	-0.3005152971209406
8	0	0.8	0.009822912941123918
9	0	1.15	0.09740474273180677
10	0	1.5	-0.05921289420474962
11	0	1.85	-0.42168453811543194
0	1	-2.0	0.6193706004856432
1	1	-1.65	0.19356413340054124
2	1	-1.3	-0.059282195728840414
3	1	-0.95	-0.0772627872076167
4	1	-0.6	0.14402463485326777
5	1	-0.25	0.550401191864658
6	1	0.1	1.0423717297922637
7	1	0.45	1.4994847028790594
8	1	0.8	1.809822912941124
9	1	1.15	1.8974047427318068
10	1	1.5	1.7407871057952504
11	1	1.85	1.378315461884568
